symbol,name,asset_type,exchange,source,is_etf
AMAL,Amalgamated Financial Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
FTRE,Fortrea Holdings Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
GOLD,"Gold.com, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
DSL,DoubleLine Income Solutions Fund,stock,NYSE,sec-company-tickers+nasdaq-trader,false
AFYA,Afya Ltd,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
RIOFF,Rio2 Ltd,stock,OTC,sec-company-tickers,false
PRGS,PROGRESS SOFTWARE CORP /MA,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
RXT,"Rackspace Technology, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ATEC,"Alphatec Holdings, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
IRS,IRSA INVESTMENTS & REPRESENTATIONS INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ICFI,"ICF International, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
VIA,"Via Transportation, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
WVE,Wave Life Sciences Ltd.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
XZO,"Exzeo Group, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
ALNT,ALLIENT INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CTBI,COMMUNITY TRUST BANCORP INC /KY/,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
NAK,NORTHERN DYNASTY MINERALS LTD,stock,NYSE,sec-company-tickers+nasdaq-trader,false
TROX,Tronox Holdings plc,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ULCC,"Frontier Group Holdings, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CCO,"Clear Channel Outdoor Holdings, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
SBET,"Sharplink, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ITRN,Ituran Location & Control Ltd.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LSPD,Lightspeed Commerce Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
WYFI,"WhiteFiber, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
EOS,Eaton Vance Enhanced Equity Income Fund II,stock,NYSE,sec-company-tickers+nasdaq-trader,false
SBH,"Sally Beauty Holdings, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
UFCS,UNITED FIRE GROUP INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
JKS,"JinkoSolar Holding Co., Ltd.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
INSP,"Inspire Medical Systems, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
NSP,"INSPERITY, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
SCL,STEPAN CO,stock,NYSE,sec-company-tickers+nasdaq-trader,false
DQ,DAQO NEW ENERGY CORP.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
NEO,NEOGENOMICS INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ATEX,Anterix Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ASM,AVINO SILVER & GOLD MINES LTD,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PDS,PRECISION DRILLING Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
SIFY,SIFY TECHNOLOGIES LTD,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
BFS,"SAUL CENTERS, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
BFLY,"Butterfly Network, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
OPFI,OppFi Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
BV,"BrightView Holdings, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
